timestamp,host,ip,port,state,service,banner,notes
2026-03-14 00:08:01,scanme.nmap.org,45.33.32.156,22,open,ssh,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13,
2026-03-14 00:08:01,scanme.nmap.org,45.33.32.156,80,open,http,HTTP/1.1 200 OK,
